name,version,vendor,oss,purpose,used_by,risk,evidence,confidence,needs_confirm,note
mybatis,3.5.19,MyBatis.org (mybatis),yes,SQL マッピングフレームワーク。Mapper インターフェースと XML で SQL を定義し O/R マッピングを行う,org.mybatis.jpetstore.mapper.*（全 Mapper インターフェース）,low,pom.xml: <artifactId>mybatis</artifactId><version>3.5.19</version>,fact,no,Spring 統合は mybatis-spring が担う。後継バージョン活発に開発中（3.5.x 系最新）
mybatis-spring,3.0.5,MyBatis.org (mybatis),yes,MyBatis と Spring Framework の統合ブリッジ。SqlSessionFactoryBean・MapperScan 提供,applicationContext.xml（SqlSessionFactory 定義・mybatis:scan）,low,pom.xml: <artifactId>mybatis-spring</artifactId><version>3.0.5</version>,fact,no,Spring 6.x 対応版。MyBatis Spring Boot Starter とは別物
spring-context,6.2.19,Spring Framework (VMware/Broadcom),yes,Spring DI コンテナ本体。@Service・@Transactional・ComponentScan,org.mybatis.jpetstore.service.* (@Service / @Transactional),low,pom.xml: <artifactId>spring-context</artifactId><version>${spring.version}</version>,fact,no,6.x 系は Jakarta EE 9+ 対応。本プロジェクトの主要フレームワーク
spring-jdbc,6.2.19,Spring Framework (VMware/Broadcom),yes,Spring JDBC サポート。DataSourceTransactionManager・embedded-database 提供,applicationContext.xml（DataSourceTransactionManager・jdbc:embedded-database）,low,pom.xml: <artifactId>spring-jdbc</artifactId><version>${spring.version}</version>,fact,no,HSQLDB 組み込みDB の起動制御に利用
spring-web,5.3.39,Spring Framework (VMware/Broadcom),yes,Spring Web MVC 基盤。ContextLoaderListener 提供（Stripes 連携用）,web.xml（ContextLoaderListener 登録）,high,pom.xml: <artifactId>spring-web</artifactId><version>5.3.39</version>（コメント: Keep spring-web at 5.3.39 until jakarta upgrade occurs）,fact,no,意図的に 5.3.x で固定。6.x にするには javax→jakarta 名前空間移行が必要。5.3.x は EOL 間近（Spring 5 サポート終了 2024年末）で移行リスク高い
stripes,1.6.0,sourceforge.net (Stripes Framework),yes,Web MVC アクションフレームワーク。ActionBean・StripesFilter・StripesDispatcherServlet,web.xml・全 ActionBean クラス（web/actions/*）,high,pom.xml: <artifactId>stripes</artifactId><version>1.6.0</version>,fact,no,最終リリース 1.6.0（2015年頃）。開発停止状態で後継なし。javax.servlet API 依存のため Jakarta EE 移行に対応不可。移行リスク最高。
taglibs-standard-spec,1.2.5,Apache Software Foundation,yes,JSTL（JSP Standard Tag Library）仕様 JAR。JSP タグライブラリのスペック,JSP ファイル全般（IncludeTop.jsp: c・fmt タグライブラリ宣言）,mid,pom.xml: <artifactId>taglibs-standard-spec</artifactId><version>1.2.5</version>,fact,no,JSTL 1.2 は javax.servlet 依存。Jakarta EE 移行時は jakarta.servlet.jsp.jstl への置換が必要
taglibs-standard-impl,1.2.5,Apache Software Foundation,yes,JSTL 実装 JAR。taglibs-standard-spec の実装本体,JSP ファイル全般（IncludeTop.jsp: uri=http://java.sun.com/jsp/jstl/core ほか）,mid,pom.xml: <artifactId>taglibs-standard-impl</artifactId><version>1.2.5</version>,fact,no,taglibs-standard-spec と同バージョンで対になる。Jakarta EE 移行で同様に置換必要
jakarta.servlet.jsp-api,2.3.6,Eclipse Foundation (Jakarta EE),yes,JSP API（provided スコープ。APサーバー提供）,JSP コンパイル時に参照,low,pom.xml: <artifactId>jakarta.servlet.jsp-api</artifactId><version>2.3.6</version><scope>provided</scope>,fact,no,バージョン 2.3.x は javax.servlet.jsp 名前空間。Jakarta EE 10 の 3.x へ移行するとパッケージが変わる
jakarta.servlet-api,4.0.4,Eclipse Foundation (Jakarta EE),yes,Servlet API（provided スコープ。APサーバー提供）,ActionBean 等が javax.servlet.http.HttpSession 等を利用,mid,pom.xml: <artifactId>jakarta.servlet-api</artifactId><version>4.0.4</version><scope>provided</scope>,fact,no,バージョン 4.0.x は javax.servlet 名前空間（Servlet 4.0）。Jakarta EE 10 では jakarta.servlet 5.0+。Stripes 1.6.0 が javax.servlet 依存のため移行できない
slf4j-api,2.0.18,QOS.ch (SLF4J),yes,ロギングファサード API,MyBatis 内部・Spring 内部（間接利用）,none,pom.xml: <artifactId>slf4j-api</artifactId><version>${slf4j.version}</version> (2.0.18),fact,no,2.x 系は活発にメンテ中。後継問題なし
slf4j-simple,2.0.18,QOS.ch (SLF4J),yes,SLF4J シンプルロガー実装。標準出力にログ出力,アプリ全体（ランタイムログ出力）,none,pom.xml: <artifactId>slf4j-simple</artifactId><version>${slf4j.version}</version> (2.0.18),fact,no,本番環境では Logback 等への差し替えを要検討
hsqldb,2.7.4,HSQLDB Project,yes,インメモリ/組み込みリレーショナル DB。起動時スキーマ・データロード,applicationContext.xml（jdbc:embedded-database）・SQL ファイル群,mid,pom.xml: <artifactId>hsqldb</artifactId><version>${hsqldb.version}</version> (2.7.4),fact,no,デモ用組み込みDB。本番環境では別DBへの置換が前提。移行時は SQL 方言差異の確認が必要
spring-batch-infrastructure,5.2.6,Spring Framework (VMware/Broadcom),yes,Spring Batch の基盤モジュール。OSGi 問題の回避のために Liberty 向けに追加,pom.xml コメント: "Due to osgi issue with mybatis spring its required here for liberty",mid,pom.xml: <artifactId>spring-batch-infrastructure</artifactId><version>5.2.6</version> (コメント付き),fact,no,Liberty APサーバー使用時のみ実質必要。他APサーバーでは不要な依存の可能性あり
byte-buddy,1.18.10,Rafael Winterhalter (ByteBuddy),yes,Java バイトコード生成ライブラリ（テストスコープ。Mockito 依存）,テストコード全般（Mockito 経由）,none,pom.xml: <artifactId>byte-buddy</artifactId><version>${byte-buddy.version}</version><scope>test</scope>,fact,no,テストスコープのみ。プロダクションコードには影響なし
byte-buddy-agent,1.18.10,Rafael Winterhalter (ByteBuddy),yes,ByteBuddy Java エージェント（Surefire argLine で指定）,Maven Surefire テスト実行時,none,pom.xml: <artifactId>byte-buddy-agent</artifactId><version>${byte-buddy.version}</version><scope>test</scope>,fact,no,テストスコープのみ
junit-jupiter-engine,6.1.0,JUnit Team,yes,JUnit 5 テストエンジン,テストコード全般（src/test/java/**/*Test.java・*IT.java）,none,pom.xml: <artifactId>junit-jupiter-engine</artifactId><version>6.1.0</version><scope>test</scope>,fact,no,テストスコープのみ。JUnit 5 (Jupiter) 系は活発にメンテ中
mockito-core,5.23.0,Mockito Project,yes,Java モックフレームワーク,テストコード全般（*Test.java でモック生成）,none,pom.xml: <artifactId>mockito-core</artifactId><version>${mockito.version}</version><scope>test</scope>,fact,no,テストスコープのみ
mockito-junit-jupiter,5.23.0,Mockito Project,yes,Mockito と JUnit 5 の統合拡張,テストコード全般（@ExtendWith(MockitoExtension.class) 等）,none,pom.xml: <artifactId>mockito-junit-jupiter</artifactId><version>${mockito.version}</version><scope>test</scope>,fact,no,テストスコープのみ
assertj-core,3.27.7,AssertJ Project,yes,流暢な Java アサーションライブラリ,テストコード全般（assertThat(...)...）,none,pom.xml: <artifactId>assertj-core</artifactId><version>${assertj.version}</version><scope>test</scope>,fact,no,テストスコープのみ
selenide,7.16.2,Codeborne,yes,Selenium ベースの E2E UI テストライブラリ,src/test/java/org/mybatis/jpetstore/ScreenTransitionIT.java,none,pom.xml: <artifactId>selenide</artifactId><version>7.16.2</version><scope>test</scope>,fact,no,テストスコープのみ。E2E 統合テスト（*IT.java）で使用
htmlunit3-driver,4.44.0,Selenium HQ,yes,ヘッドレスブラウザ WebDriver（HtmlUnit 3 ベース）。E2E テスト用,src/test/java/org/mybatis/jpetstore/ScreenTransitionIT.java（Selenide 経由）,none,pom.xml: <artifactId>htmlunit3-driver</artifactId><version>4.44.0</version><scope>test</scope>,fact,no,テストスコープのみ
spring-test,6.2.19,Spring Framework (VMware/Broadcom),yes,Spring テストサポートモジュール,src/test/java/org/mybatis/jpetstore/mapper/MapperTestContext.java 等,none,pom.xml: <artifactId>spring-test</artifactId><version>${spring.version}</version><scope>test</scope>,fact,no,テストスコープのみ
maven-profiler,3.3,Jean-Christophe Gay (fr.jcgay),yes,Maven ビルドプロファイリング拡張。ビルド時間可視化,Maven ビルドプロセス全体,none,.mvn/extensions.xml: <artifactId>maven-profiler</artifactId><version>3.3</version>,fact,no,ビルドツール拡張のみ。プロダクション成果物には含まれない
