dep_from,dep_to,action,impact,risk,basis,policy,evidence,confidence,needs_confirm,note
"Webレイヤー全体（web/actions/*ActionBean・AbstractActionBean・全JSP）","Stripes 1.6.0 (framework)",replace,"Stripes 1.6.0 は 2015 年頃に開発停止しており javax.servlet API に完全依存している。Jakarta EE 9+ への移行が不可能であり、ActionBean 4 クラス（AccountActionBean/CartActionBean/CatalogActionBean/OrderActionBean）および AbstractActionBean がすべて net.sourceforge.stripes.* に依存。JSP 全画面で stripes TLD を使用。置換しない限りシステム全体が jakarta 移行不可のボトルネックとなる。",high,"07-framework.csv:Stripes行（replace_impact=high）; 03-libraries.csv:stripes行（risk=high）; 08-runtime-impact.csv:library-compat行（stripes 1.6.0）; 04-dependencies.csv:implements=net.sourceforge.stripes.action.ActionBean他20行","Stripes を Spring MVC（+ Thymeleaf または JSP 継続）または Jakarta Faces 等の Jakarta EE 対応フレームワークへ全面置換する。AbstractActionBean（50行）は軽量なため新フレームワーク向けの基底クラスとして再実装容易。ActionBean 4 クラスのロジックは Service 層への委譲が明確なため、コントローラ書き直しの範囲はビジネスロジックではなく HTTP ハンドリング部分に限定される。JSP 全画面の stripes タグを新テンプレートエンジンへ書き換えるコストを別途見積もること。",fact,no,置換影響が全 Web レイヤーに及ぶため最高優先度。spring-web・JSTL・jakarta.servlet-api の移行と同時に計画すること。
"Webレイヤー全体（web/actions/*ActionBean・web.xml）","spring-web 5.3.x (library)",upgrade,"spring-web 5.3.39 は意図的に固定されており（pom.xml コメント: Keep spring-web at 5.3.39 until jakarta upgrade occurs）Spring 5 は 2024 年末 EOL。spring-context 6.2.x と混在しており不整合状態。6.x へのアップグレードには javax→jakarta 名前空間移行が必要。",high,"03-libraries.csv:spring-web行（risk=high）; 08-runtime-impact.csv:library-compat行（spring-web 5.3.39）; 10-platform.csv:pom.xml行（risk=high spring-web固定）","Stripes 置換と同時に spring-web を 6.x へアップグレードする。この作業は Stripes 置換なしには実施不可なため、Stripes 置換ロードマップの一環として計画する。EOL のため脆弱性対応が受けられないリスクを PM へ周知する。","pom.xml:108-110（spring-web 5.3.39固定コメント）; 03-libraries.csv:spring-web行",fact,no,spring-context 6.2.x と spring-web 5.3.x の混在は意図的だが技術的負債。Stripes 置換が完了するまで継続する。
"web.xml・AccountActionBean・CartActionBean・OrderActionBean（javax.servlet.http.*）","javax → jakarta 名前空間 (namespace-migration)",migrate,"AccountActionBean:22 (import javax.servlet.http.HttpSession)・OrderActionBean:22 (import javax.servlet.http.HttpSession)・CartActionBean:20 (import javax.servlet.http.HttpServletRequest)・web.xml:24-27（Servlet 3.0 スキーマ xmlns=http://java.sun.com/xml/ns/javaee）の 4 箇所で javax.* 直接参照。Jakarta EE 9+ コンテナ（Tomcat 10+）ではコンパイル・デプロイ不可。",high,"08-runtime-impact.csv:namespace-migration行3件（AccountActionBean/OrderActionBean/CartActionBean・risk=high）; 08-runtime-impact.csv:server-api行（web.xml Stripes 動作不可・risk=high）; 10-platform.csv:encoding行（javax.servlet.http.*・risk=high）","javax.servlet.* を jakarta.servlet.* へ一括置換する（IDE のリファクタリング機能またはスクリプトで対応可能）。web.xml の xmlns も jakartaee スキーマへ更新する。Stripes 置換完了後に実施する。","08-runtime-impact.csv:AccountActionBean.java:22 / OrderActionBean.java:22 / CartActionBean.java:20 / web.xml:24-27",fact,no,08-runtime-impact.csv の namespace-migration 4 件をまとめて 1 行に集約。Stripes 1.6.0 自体が javax 依存のため、Stripes 置換前には実施不可。
"beans.xml（CDI設定）","javax → jakarta 名前空間 (namespace-migration)",migrate,"beans.xml:18-22 の xmlns が xmlns.jcp.org/xml/ns/javaee（Java EE 7/8）。Jakarta EE 9+ では jakarta.ee スキーマへ変更が必要。",low,"08-runtime-impact.csv:namespace-migration行（beans.xml）; 10-platform.csv:encoding行（beans.xml・risk=high）","beans.xml の xmlns を https://jakarta.ee/xml/ns/jakartaee へ変更する。Stripes 置換・jakarta 移行の一環として実施する。","beans.xml:18-22; 10-platform.csv:encoding行（risk=high）",fact,no,beans.xml は Resin プロファイルでは除外設定あり（pom.xml）。Tomcat 等での CDI 有無を確認すること（04-unresolved.csv 参照）。
"全 JSP（IncludeTop.jsp 経由）","JSTL 1.2 taglibs-standard (library)",replace,"taglibs-standard-spec/impl 1.2.5 は javax.servlet.jsp 依存。Jakarta EE 9+ コンテナ（Tomcat 10+/Servlet 5.0+）では動作不可。IncludeTop.jsp の taglib URI（http://java.sun.com/jsp/jstl/core, fmt）も Jakarta JSTL 3.x では URI が変わる可能性あり。全 JSP が IncludeTop.jsp を include するため間接的に全 16 JSP へ影響。",mid,"07-framework.csv:JSTL行（replace_impact=low）; 08-runtime-impact.csv:library-compat行（taglibs-standard-spec/impl）; 08-runtime-impact.csv:namespace-migration行（IncludeTop.jsp taglib URI）; 03-libraries.csv:taglibs-standard-spec/impl行（risk=mid）","taglibs-standard-spec/impl を jakarta.servlet.jsp.jstl 対応版（Jakarta JSTL 3.x）へ差し替える。IncludeTop.jsp の taglib URI を Jakarta JSTL 対応 URI へ更新する。Stripes 置換・spring-web アップグレードと同時に実施する。","08-runtime-impact.csv:pom.xml:127-135（taglibs-standard 1.2.5）; IncludeTop.jsp:21-22",fact,no,""
"web.xml（context-param: javax.servlet.jsp.jstl.fmt.localizationContext）","JSTL localization context パラメータ名 (namespace-migration)",confirm,"web.xml:31 の context-param 名 javax.servlet.jsp.jstl.fmt.localizationContext は仕様上 javax.* 表記のまま残るが、taglibs-standard-impl を Jakarta 版に差し替えた場合の動作確認が必要。",mid,"08-runtime-impact.csv:namespace-migration行（web.xml JSTL context-param）","JSTL Jakarta 版への移行後に動作確認テストを実施する。","web.xml:31; 08-runtime-impact.csv:namespace-migration行（mid）",fact,yes,仕様上の名前空間が変わるかどうか Jakarta JSTL 3.x のドキュメントで確認が必要。
"全 ActionBean・Service・JSP（runtime）","jakarta.servlet-api 4.0.4 / Servlet 4.0 (library)",migrate,"jakarta.servlet-api 4.0.4 はアーティファクト ID は jakarta だがバージョン 4.x は実態が javax.servlet 名前空間（Servlet 4.0）。Servlet 5.0+（jakarta.servlet 名前空間）へ移行時には全 Servlet API 参照コードの修正が必要。Stripes 1.6.0 が javax.servlet 依存のため現時点では移行不可。",high,"08-runtime-impact.csv:library-compat行（jakarta.servlet-api 4.0.4）; 03-libraries.csv:jakarta.servlet-api行（risk=mid）","Stripes 置換後に jakarta.servlet-api を 5.0+ へアップグレードし、Servlet API 参照箇所の名前空間を javax.servlet.* から jakarta.servlet.* へ一括移行する。","pom.xml:143-147（jakarta.servlet-api 4.0.4）; 08-runtime-impact.csv:library-compat行",fact,no,Stripes 置換完了が前提条件。
"全 JSP・APサーバーデプロイ","Tomcat 9（APサーバー runtime）",replace,"pom.xml の tomcat9 プロファイルがデフォルト有効（activeByDefault=true）。Stripes 1.6.0 が javax.servlet 依存のため Tomcat 10+（Jakarta EE 9+）では動作不可。Jakarta EE 移行後は Tomcat 10+ への切り替えが必要。",high,"08-runtime-impact.csv:server-api行（web.xml StripesFilter + Tomcat9 profile）; 10-platform.csv:pom.xml行（packaging=war・デプロイ前提）","Stripes 置換・jakarta 名前空間移行完了後に Tomcat 10+ へ切り替える。デプロイ先 APサーバーの最終決定はプロジェクト要件で確認する（10-platform.csv pom.xml:322-551 の 8 種プロファイル参照）。","pom.xml:329-352（tomcat9 profile activeByDefault=true）; 08-runtime-impact.csv:server-api行",fact,yes,本番 APサーバーの種類（Tomcat/Liberty/WildFly 等）は設定から確定不可。
"ビルド環境・CI","APサーバー選択（8種プロファイル runtime）",confirm,"pom.xml に Tomcat9/TomEE8/WildFly26/Liberty-ee8/Jetty12/GlassFish5/Payara5/Resin4 の 8 種 Maven プロファイルが定義されているが、本番環境で使用するものが設定から特定不可。Liberty-ee8 は Windows CI で除外設定あり。",mid,"10-platform.csv:pom.xml行（deploy mid; risk=mid）; 00-asset-check.csv:deploy-env行（needs_confirm=yes）; 04-unresolved.csv:beans.xml行","本番 APサーバーをプロジェクトオーナーへ確認する。確認後に対応する移行プロファイルの検証を実施する。","pom.xml:322-551（8プロファイル）; 10-platform.csv:deploy行; .github/workflows/support.yaml:38-40",fact,yes,Liberty EE8 は EOL（spring-batch-infrastructure が Liberty OSGi 問題回避用に追加されていることから Liberty 利用の可能性あり）。
"APサーバーデプロイ・Liberty 環境","IBM Liberty EE8 / WildFly 26 (runtime)",confirm,"Liberty EE8（javax 4.0 ベース）は EOL。WildFly 26.x も JEE 8 / javax ベースで EOL。両者を本番使用している場合は jakarta 移行が追加で必要。Liberty の OSGi 問題回避のため spring-batch-infrastructure 5.2.6 が依存に追加されている（プロダクションコードへの直接利用なし）。",mid,"08-runtime-impact.csv:server-api行（liberty-ee8 / wildfly26 profile）; 03-libraries.csv:spring-batch-infrastructure行（risk=mid needs_confirm=yes）","Liberty/WildFly 使用有無を確認する。使用している場合は EE10 対応バージョンへの移行計画を立案する。Liberty 不使用の場合は spring-batch-infrastructure 依存を削除できる。","pom.xml:381-435（wildfly26/liberty-ee8 profile）; 03-libraries.csv:spring-batch-infrastructure行",fact,yes,Liberty 利用有無によって spring-batch-infrastructure の必要性が変わる。
"applicationContext.xml・全業務フロー（DB接続）","HSQLDB 2.7.4（組み込みDB database）",replace,"applicationContext.xml の jdbc:embedded-database で HSQLDB インメモリ DB を使用。起動のたびにデータリセットされ永続化不可。本番環境では外部 DB（MySQL/PostgreSQL 等）への置換が前提。DataSource Bean の差し替えで移行可能だが、SQL 方言差異（ORDERSTATUS の timestamp 列名・SEQUENCE テーブル名予約語等）の確認が必要。",high,"07-framework.csv:HSQLDB行（replace_impact=low ただし本番DB置換前提）; 09-db.csv:ORDERSTATUS行（TIMESTAMP列名 risk=mid）; 09-db.csv:SEQUENCE行（SEQUENCE予約語）; 10-platform.csv:applicationContext.xml行（risk=high 永続化不可）; 03-libraries.csv:hsqldb行（risk=mid）","移行先 DB を決定し、DataSource Bean を外部 DB 接続設定に差し替える。ORDERSTATUS テーブルの timestamp 列名を予約語回避（クォートまたはリネーム）する。SEQUENCE テーブル名も PostgreSQL では SEQUENCE が予約語のため対応が必要。全 SQL の方言差異（lower() 関数・旧式 JOIN 構文等）を確認し本番 DB で動作検証する。","10-platform.csv:applicationContext.xml行（risk=high）; 09-db.csv:ORDERSTATUS/SEQUENCE行",fact,yes,移行先 DB の種類が未定のため SQL 方言差異の詳細確認は DB 決定後に実施する。
"OrderMapper・SQL","ORDERSTATUS.timestamp 列名（DB固有 database）",confirm,"jpetstore-hsqldb-schema.sql:96 の ORDERSTATUS テーブルに timestamp という列名がある。PostgreSQL/MySQL では TIMESTAMP が予約語のため、移行先 DB によってはクォートまたは列名変更が必要。",mid,"09-db.csv:ORDERSTATUS行（object_name=ORDERSTATUS, specific=TIMESTAMP列名, risk=mid, evidence=jpetstore-hsqldb-schema.sql:96）; 12-impact-matrix.csv行12（HSQLDB basis: 09-db.csvおよび10-platform.csvへの参照を持つHSQLDB行から波及）","移行先 DB を決定後、ORDERSTATUS.timestamp 列を予約語回避名（例: ordered_at）にリネームするか、SQL でクォートする対応を検討する。","09-db.csv:ORDERSTATUS行（jpetstore-hsqldb-schema.sql:96, specific=TIMESTAMP列名, risk=mid）",fact,yes,HSQLDB では許容される。移行先 DB が PostgreSQL/MySQL の場合に顕在化する。09-db.csv が DB スキーマ調査の上流 CSV であり、本行はその分析結果。
"SequenceMapper・OrderService（採番）","SEQUENCE テーブル名（DB固有 database）",confirm,"jpetstore-hsqldb-schema.sql:160 の SEQUENCE テーブルは PostgreSQL では SEQUENCE が予約語のため、テーブル名変更またはクォートが必要。SequenceMapper の SELECT/UPDATE SQL（SequenceMapper.xml:26/32）も影響を受ける。",mid,"09-db.csv:SEQUENCE行（object_name=SEQUENCE, evidence=jpetstore-hsqldb-schema.sql:160, note=PostgreSQL等ではSEQUENCEオブジェクトが予約済み）; 09-crud.csv:SequenceMapper行（SEQUENCE RU）","移行先 DB が PostgreSQL の場合は SEQUENCE テーブルを別名（例: ID_SEQUENCE）にリネームし、SequenceMapper.xml の SQL も更新する。","09-db.csv:SEQUENCE行（jpetstore-hsqldb-schema.sql:160, note=SEQUENCE予約語問題）; 09-crud.csv:SequenceMapper行",fact,yes,移行先 DB に依存する問題。PostgreSQL 移行時に必要。09-db.csv はスキーマ DDL 全体を調査した上流 CSV であり本行のトレーサビリティ根拠。
"SequenceMapper（採番キャッシュ）","MyBatis L2 Cache（採番テーブル library）",migrate,"SequenceMapper.xml:24 の <cache/> タグにより MyBatis 2L キャッシュが有効。採番テーブル（SEQUENCE）にキャッシュが適用されると並行処理時に採番重複（同一 ordernum が複数の注文に割り当てられる）リスクがある。現行の HSQLDB インメモリ単一インスタンス環境では顕在化しにくいが、本番 DB 移行・クラスタ構成時に重大障害となりえる。",high,"09-db.csv:SequenceMapper_cache行（object_name=SequenceMapper_cache, specific=MyBatis <cache/>（2Lキャッシュ有効化）, risk=mid, evidence=SequenceMapper.xml:24, needs_confirm=yes）; 09-crud.csv:SequenceMapper行（SEQUENCE RU）; 11-flows.csv:FLOW-002行（SEQUENCE採番）","SequenceMapper.xml の <cache/> を削除してキャッシュを無効化する。または DB 側の SEQUENCE オブジェクトに移行する（PostgreSQL は SEQUENCE 機能を持つ）。本番 DB 移行前にキャッシュ無効化を優先対応する。","09-db.csv:SequenceMapper_cache行（SequenceMapper.xml:24, specific=MyBatis <cache/>タグ, risk=mid）; 09-crud.csv:SequenceMapper行",fact,yes,採番重複は注文データの整合性を破壊する可能性があり高リスクと判断（09-db.csv の risk=mid から本行で high に昇格）。09-db.csv が MyBatis Mapper XML 調査の上流 CSV であり本行のトレーサビリティ根拠。
"AccountMapper（認証・アカウント情報キャッシュ）","MyBatis L2 Cache（認証データ library）",migrate,"AccountMapper.xml:24 の <cache/> タグにより認証データ・アカウント情報がキャッシュされる。アカウント更新後のキャッシュ無効化が正常に動作しない場合、古い認証情報が使われるリスクがある。クラスタ環境では分散キャッシュ問題となる。",mid,"09-db.csv:AccountMapper_cache行（object_name=AccountMapper_cache, specific=MyBatis <cache/>（2Lキャッシュ有効化）, risk=mid, evidence=AccountMapper.xml:24, needs_confirm=yes）","クラスタ環境への移行前に AccountMapper のキャッシュ設定を見直す。L2 キャッシュを継続使用する場合は Ehcache/Redis 等の分散キャッシュを設定する。","09-db.csv:AccountMapper_cache行（AccountMapper.xml:24, specific=MyBatis <cache/>タグ, risk=mid）",fact,yes,現行インメモリ単一インスタンスでは問題は顕在化しない。本番 DB 移行・クラスタ化時に対応要。09-db.csv が MyBatis Mapper XML 調査の上流 CSV であり本行のトレーサビリティ根拠。
"全業務フロー（オンライン）","MyBatis 3.5.19（SQL マッピング library）",none,"MyBatis 3.5.19 は活発開発中で EOL リスクなし。Spring 6.x 対応版の mybatis-spring 3.0.5 と組み合わせており互換性問題はない。置換影響は high（全 Mapper 7 クラス・全 DB 操作経路）だが、現時点で置換を推奨する理由がない。","low","07-framework.csv:MyBatis行（replace_impact=high ただし現時点で置換不要）; 03-libraries.csv:mybatis行（risk=low）","現状維持。DB 移行時の SQL 方言差異確認は必要だが MyBatis 自体の置換は不要。","07-framework.csv:MyBatis行",fact,no,置換影響は大きいが現時点での置換必要性はない。DB 移行後も MyBatis を継続使用することを前提に SQL の方言差異確認を行う。
"Service 層（AccountService/CatalogService/OrderService）","Spring Framework 6.2.x（DI・トランザクション library）",none,"Spring Framework 6.2.19（spring-context/spring-jdbc）は Jakarta EE 9+ 対応済みで EOL リスクなし。@Service/@Transactional による DI・トランザクション管理は Jakarta 移行後も継続利用可能。","low","07-framework.csv:Spring Framework行（replace_impact=high ただし置換不要）; 03-libraries.csv:spring-context/spring-jdbc行（risk=low）","現状維持。spring-web のアップグレードと合わせて 6.x 系に統一すること。","07-framework.csv:Spring Framework行（spring-context 6.2.19）",fact,no,spring-context/spring-jdbc は 6.x 対応済みのため対応不要。spring-web のみ 5.3.x 固定という状態を解消すること。
"ビルド環境","Java 17（language-version）",confirm,"現行コードは Java 17 向けにコンパイル済み。CI は Java 21/25/26/27-ea でテスト実施中。Java 21 LTS への移行可否は要確認。目標 Java バージョンは未定。",low,"08-runtime-impact.csv:language-version行（pom.xml:63 Java 17 risk=low needs_confirm=yes）; 10-platform.csv:pom.xml行（Java 17指定）","移行目標 Java バージョンを決定する。CI で Java 21/25 が通過していることから Java 21 LTS への移行は技術的に可能と推定されるが、正式確認が必要。","pom.xml:63（java.release.version=17）; 08-runtime-impact.csv:language-version行",fact,yes,目標 Java バージョンは PJ 方針で決定要。
"Order ドメインオブジェクト","java.util.Date（deprecated-api language）",upgrade,"Order.java:21/289 で java.util.Date を注文日時フィールドに使用。Java 8+ では java.time.LocalDateTime/Instant が推奨。コンパイル不可にはならないが技術的負債。",low,"08-runtime-impact.csv:deprecated-api行（Order.java:21 risk=low）","新規開発時は java.time API への置換を推奨。移行作業の優先度は低いが、API を新設する場合は java.time を使用する。","Order.java:21; 08-runtime-impact.csv:deprecated-api行",fact,no,コンパイル不可にはならない。移行の優先度は低い。
"全 JSP 画面（IncludeTop.jsp）","charset 不一致（IncludeTop.jsp encoding）",confirm,"IncludeTop.jsp:18 のページ宣言は charset=UTF-8 だが、:37 の <meta> タグ内 Content-Type は charset=windows-1252 と不一致。ブラウザによって文字化けが発生する可能性がある。",mid,"05-frontend.csv:IncludeTop.jsp行（risk=mid）","IncludeTop.jsp の meta charset を UTF-8 に統一する。移行後の動作確認テストで文字化けが発生しないことを確認する。","05-frontend.csv:IncludeTop.jsp:37（charset=windows-1252）",fact,no,すべての JSP が IncludeTop.jsp をインクルードするため影響範囲は全画面。
"CSS（jpetstore.css）","IE5/Mac CSS ハック（browser_dependency）",none,"jpetstore.css の #Logo/#Menu/#Search/#PoweredBy/#Banner で IE5/Mac 用 voice-family ハックが複数使用されている。モダンブラウザでは不要な記述だが機能上の問題はない。移行後もそのまま残しても動作するが、コードの可読性に影響する。","low","05-frontend.csv:jpetstore.css行（risk=mid browser_dependency）","移行時に CSS を整理する際に削除を検討する。優先度は低い。","05-frontend.csv:jpetstore.css:135,159,189,223,242",fact,no,モダンブラウザでは voice-family ハックは無視されるため機能影響なし。コードクリーンアップの一環として対処。
"Product.jsp（jsp:useBean）","Stripes フレームワーク連携（framework）",replace,"Product.jsp:20 で <jsp:useBean id=\"\"catalog\"\" class=\"\"org.mybatis.jpetstore.web.actions.CatalogActionBean\"\"> を使用して直接 ActionBean をインスタンス化している。Stripes フレームワークのリクエスト管理と競合するリスクがあり、フレームワーク置換時には書き換えが必要。",mid,"05-frontend.csv:Product.jsp行（risk=mid）","Stripes 置換時に Product.jsp の jsp:useBean を新フレームワークの EL 式や MVC 連携に書き換える。","05-frontend.csv:Product.jsp:20（jsp:useBean）",fact,no,Stripes 置換作業の一部として対処する。
"Main.jsp（imgmap ハードコード URL）","コンテキストルート依存（deploy infra）",confirm,"Main.jsp:72-83 の imgmap 内 <area href> に Catalog.action への相対 URL がハードコードされている。コンテキストルートを変更した場合にリンクが壊れる可能性がある。",mid,"05-frontend.csv:Main.jsp行（risk=mid）","移行先のコンテキストルートが変更される場合は Main.jsp の imgmap URL を見直す。stripes:link と混在しているため統一化を検討する。","05-frontend.csv:Main.jsp:72-83",fact,no,コンテキストルートが変更されない場合は影響なし。
"ビルド環境","JAVA_HOME 環境変数（env-var os）",none,"mvnw/mvnw.cmd は JAVA_HOME が未設定の場合にビルドエラーで終了する。CI 環境では設定済みと推測されるが、新規開発者のセットアップ手順への記載が必要。","low","10-platform.csv:mvnw行（risk=high）; 10-platform.csv:mvnw.cmd行（risk=high）","開発セットアップ手順に JAVA_HOME の設定方法を記載する。CI 環境では設定済みであることを確認する。","10-platform.csv:mvnw:26（JAVA_HOME必須）; mvnw.cmd:24",fact,no,設定済み環境では問題なし。新規セットアップ時の手順整備として対処。
"ビルド・デプロイ","Maven リポジトリ URL ハードコード（build infra）",confirm,"mvnw と .mvn/wrapper/maven-wrapper.properties に中央リポジトリ URL がハードコードされている。ネットワーク制限環境（社内 Maven リポジトリ必須環境）では変更が必要。",mid,"10-platform.csv:maven-wrapper.properties行（risk=mid needs_confirm=yes）; 10-platform.csv:mvnw行（MVNW_REPOURL）","移行先環境がネットワーク制限環境の場合は MVNW_REPOURL を社内ミラーに設定し .mvn/wrapper/maven-wrapper.properties の distributionUrl も更新する。","10-platform.csv:.mvn/wrapper/maven-wrapper.properties:1-4; mvnw:222",fact,yes,本番デプロイ環境のネットワーク制限有無の確認が必要。
"Dockerfile（コンテナビルド）","openjdk:25 イメージタグ未固定（infra）",upgrade,"Dockerfile:17 の FROM openjdk:25 はタグが固定されておらず latest 相当を参照する可能性がある。openjdk:25 は未リリース段階のイメージを参照するリスクがある。",mid,"10-platform.csv:Dockerfile行（risk=mid）","Dockerfile の FROM イメージをリリース済みの特定バージョン（例: openjdk:21-jdk-slim や eclipse-temurin:21）に固定する。","Dockerfile:17; 10-platform.csv:Dockerfile行",fact,no,本番コンテナビルドの安定性確保のため対処推奨。
"CI/CD（GitHub Actions）","CI シークレット管理（env-var infra）",confirm,"sonar.yaml（SONAR_TOKEN/GITHUB_TOKEN）・sonatype.yaml（CI_DEPLOY_USERNAME/CI_DEPLOY_PASSWORD）・site.yaml（NVD_API_KEY）が GitHub Actions Secrets 経由で設定されており、環境移行時に認証設定の引き継ぎが必要。",low,"10-platform.csv:sonar.yaml行（env-var）; sonatype.yaml行; site.yaml行","移行先 CI/CD 環境に Secrets を再設定する手順書を作成する。移行後の最初のパイプライン実行で動作を確認する。","10-platform.csv:.github/workflows/sonar.yaml:39-40 / sonatype.yaml:30-31 / site.yaml:32",fact,no,開発・本番環境引き継ぎ時に必要。
"ビルド（Maven compiler 設定）","mybatis-parent:52（親 POM build）",confirm,"pom.xml:23-28 で maven-compiler-plugin の source/target/release 設定が親 POM mybatis-parent:52 に委譲されており、本リポジトリ内から設定値を確認不可。",low,"08-runtime-impact.csv:language-version行（pom.xml mybatis-parent:52 needs_confirm=yes）","mybatis-parent:52 の compiler 設定値を Maven Central または リポジトリで確認する。","pom.xml:23-28; 08-runtime-impact.csv:language-version行（mybatis-parent）",inferred,yes,mybatis-parent は OSS 公開されているため Maven Central で確認可能。
"全業務フロー","バッチ処理の有無（batch）",confirm,"00-asset-check.csv で batch-shell が partial（業務バッチ処理の有無・ジョブスケジュール構成が確認不可）。spring-batch-infrastructure 5.2.6 が依存に含まれているが実装クラスは未発見。バッチ機能の有無・範囲が不明。",mid,"00-asset-check.csv:batch-shell行（status=partial needs_confirm=yes）; 03-libraries.csv:spring-batch-infrastructure行（needs_confirm=yes）","バッチ処理の有無と要件をプロジェクトオーナーに確認する。バッチ処理が不要な場合は spring-batch-infrastructure 依存を削除できる（ただし Liberty 利用時は OSGi 回避のため必要）。","00-asset-check.csv:batch-shell行; 03-libraries.csv:spring-batch-infrastructure行",fact,yes,spring-batch-infrastructure は Liberty 向け OSGi 問題回避目的のため、Liberty 不使用の場合は不要な可能性が高い。
"SQL クエリ全般（AccountMapper/ItemMapper/OrderMapper）","旧式 JOIN 構文（SQL style database）",upgrade,"AccountMapper.xml:26/52（ACCOUNT+PROFILE+SIGNON+BANNERDATA カンマ結合）・ItemMapper.xml:26/47（ITEM+INVENTORY+PRODUCT カンマ結合）・OrderMapper.xml:26/59（ORDERS+ORDERSTATUS カンマ結合）で ANSI SQL92 以前の旧式カンマ区切り JOIN 構文を使用。動作はするが可読性・移行時の DB 互換性に影響する。",low,"09-db.csv:getAccountByUsername行（object_name=getAccountByUsername, specific=ACCOUNT+PROFILE+SIGNON+BANNERDATAカンマ結合, risk=low, evidence=AccountMapper.xml:26）; 09-db.csv:getAccountByUsernameAndPassword行（evidence=AccountMapper.xml:52）; 09-db.csv:getItemListByProduct行（object_name=getItemListByProduct, specific=ITEM+PRODUCTカンマ結合, evidence=ItemMapper.xml:26）; 09-db.csv:getItem行（object_name=getItem, specific=ITEM+INVENTORY+PRODUCTカンマ結合, evidence=ItemMapper.xml:47）; 09-db.csv:getOrder行（object_name=getOrder, specific=ORDERS+ORDERSTATUSカンマ結合, evidence=OrderMapper.xml:26）; 09-db.csv:getOrdersByUsername行（evidence=OrderMapper.xml:59）","DB 移行時の SQL 検証作業時に ANSI JOIN 構文（INNER JOIN ... ON）への書き換えを検討する。機能上の問題はないため優先度は低い。","09-db.csv:getAccountByUsername行（AccountMapper.xml:26）; 09-db.csv:getAccountByUsernameAndPassword行（AccountMapper.xml:52）; 09-db.csv:getItemListByProduct行（ItemMapper.xml:26）; 09-db.csv:getItem行（ItemMapper.xml:47）; 09-db.csv:getOrder行（OrderMapper.xml:26）; 09-db.csv:getOrdersByUsername行（OrderMapper.xml:59）",fact,no,動作上の問題はない。コード品質改善の一環として DB 移行時に対処。09-db.csv が SQL 調査の上流 CSV であり本行のトレーサビリティ根拠。
"ドメイン情報・移行判断","業務設計書の不在（document）",confirm,"00-asset-check.csv で document が partial。業務要件・画面設計書・テーブル定義書・業務フロー図等が不在のため、移行方針判断の根拠がコード読解のみになっている。11-flows.csv・12-impact-matrix.csv の業務的根拠が弱い可能性がある。",mid,"00-asset-check.csv:document行（asset_kind=document, status=partial, limitation=業務要件・画面設計書・テーブル定義書・業務フロー図等が不在, evidence=src/site/（Mavenサイト技術ドキュメントのみ）, needs_confirm=yes）","業務設計書（ER 図・画面遷移図・機能仕様書）の有無をプロジェクトオーナーに確認する。存在する場合は入手して分析精度を向上させる。","00-asset-check.csv:document行（asset_kind=document, status=partial, needs_confirm=yes）",fact,yes,設計書なしでの移行は要件ミスのリスクが高い。PM・顧客への確認が必要。00-asset-check.csv はシステム資産の存在確認を行った上流 CSV であり本行のトレーサビリティ根拠。
